fecha,country,code,industryconstruction,infconsumerprice,gnipercapita,indinternet,environmentalrating,unemployment,creditodomespriv,goveffectiv,expectedyrschool,hci,d_gdp,d_gdp_pc,id_country,gov_effec,reg_effec,x_goods,trade,ied_in,ied_out,mob_sus,exp_educ_prim,exp_educ_second,property,co2_green,fuels_clean
2015,Afghanistan,AFG,22.1240424906926,-0.66170916471352,590,8.26,2.5,9.052,3.98149379462535,-1.39739489555359,..,..,1.451314660664309,-1.665057447490128,1,-1.39739489555359,-1.0188262462616,,,.8840004633612299,.0113046306689472,58.39109599,84.52097320556641,84.5209579467773,1.5,27.4083,79.5
2015,Africa Eastern and Southern,AFE,25.2160997556521,5.24587835022454,1520.19333466059,14.3,3.16666666666667,7.03635682492423,66.9311812754918,,,,3.004936899262361,.2641911989882857,2,,,24.1273589335263,55.4456452438504,3.16959753184518,.7957746971920135,66.5,,,2.722222222222222,1386.5722,38.48823334143344
2015,Africa Western and Central,AFW,22.9085205219092,2.13081738058791,1972.43120772899,17.2,3.275,4.16446707837468,14.5285907272501,,,,2.720364536163643,-.0153375789659691,3,,,,,1.956009383585302,.3828101100895696,83.3,,,2.8,796.9121,20.67106870844452
2015,Albania,ALB,21.7636809971645,1.89617402592365,4390,56.9,..,17.193,37.1507412126006,0.0275752544403076,..,..,2.218726375178036,2.516827054171273,4,.0275752544403076,.174237310886383,27.26739115126678,71.80100633964696,8.690533943018936,.6965098729221946,117.9871153,93.6951599121094,88.2799530029297,,8.7399,91.2
2015,Algeria,DZA,32.7565009315894,4.78444700693889,5390,38.2,..,11.206,19.2203451351034,-0.410829484462738,..,..,3.200000000000088,1.099620617724,5,-.410829484462738,-1.25690579414368,20.5281416810455,53.20462259041449,-.2868322906764378,.0539336577697969,109.3176407,,,,236.1836,100
2015,American Samoa,ASM,..,..,..,..,..,..,..,0.442817568778992,..,..,3.149606299212593,4.296623366876588,6,.442817568778992,.15120430290699,63.59583952451708,162.407132243685,,,,,,,.0084,
2015,Andorra,AND,9.98126871637019,..,..,87.9,..,..,..,1.74073541164398,..,..,1.434140395227161,3.63079793724701,7,1.74073541164398,.898378431797028,,,,,99.42853957,97.8501510620117,98.06455230712891,,,100
2015,Angola,AGO,41.9330921928439,9.35597215533784,3920,22,..,16.49,25.2401083054984,-0.929087340831757,..,..,.9435715613250011,-2.630701832149015,8,-.929087340831757,-.8636714220047,29.75459795068074,62.88851608901922,11.08133902589939,-.8672942114534267,49.36244924,,,,81.77500000000001,77.40000000000001
2015,Anguilla,AIA,,,,,,,,0.961984634399414,,,,,7,.961984634399414,.898378431797028,,,,,,,,,,
2015,Antigua and Barbuda,ATG,15.9250271771331,0.968993458825638,14560,70,..,..,48.6225959185356,0.183234006166458,..,..,1.445155298730768,.7144606257965052,9,.183234006166458,.355818599462509,70.69120079135691,130.0470898571333,7.93074035994626,.9789931760923678,195.6860129,,,,.3589,100
2015,Arab World,ARB,40.56329062449,1.84862742374977,6852.15851805853,40.9823815703012,2.7,11.1489135724281,48.3177997999584,,,,3.243988903098554,.7371641144189738,10,,,40.87362699838387,83.11961745569353,1.172428508804237,1.51676203620645,102.9974390008683,,,2.5,2813.2417,94.1449384845959
2015,Argentina,ARG,23.153056135905,..,12500,68.0431,..,7.579,14.4142330417064,-0.0494756102561951,..,..,2.731159828289435,1.660912538439234,11,-.0494756102561951,-.898022353649139,10.70565205045377,22.48622608897916,1.977134617844262,.1471600300866565,142.9639551,88.7274475097656,86.4162673950195,,358.4936,99.90000000000001
2015,Armenia,ARM,25.7086994351611,3.73169119261693,3910,59.1008,..,18.261,45.630782609944,-0.331789612770081,..,..,3.199999998966248,3.515995472570225,12,-.331789612770081,.189176842570305,29.72539121203342,71.68207434275752,1.744737017968194,.2724439001788485,120.3535058,100,,,8.8239,99.5
2015,Aruba,ABW,12.4688230870932,0.474763597342641,24460,88.6612,..,..,56.626871086152,0.847599267959595,..,..,-.6236259023712449,-1.635753449804128,13,.8475992679595949,1.35814249515533,72.85291284945106,145.8336632976369,-.9072642040959742,.3482756513219789,135.2427175,100,100,,.491,
2015,Australia,AUS,23.6809068044195,1.50836672165921,60520,84.5605,..,6.055,136.353973851483,1.53325247764587,..,..,2.190169286952212,.7299643146269545,14,1.53325247764587,1.77741026878357,20.06612628643026,41.66393192809844,3.470209017850184,.6111767393714407,108.1853261,,,,602.0584,100
2015,Austria,AUT,25.5152402246539,0.89656333526032,47510,83.9401,..,5.802,86.4399964991008,1.4509791135788,..,..,1.303523097988887,.1742595050036755,15,1.4509791135788,1.3904470205307,53.39601227232389,103.11758174626,-1.804095110560068,-.1780368772154498,155.8663134,94.2064590454102,97.50380706787109,,82.1687,100
2015,Azerbaijan,AZE,44.8913203383597,4.02768573742726,6610,77,..,4.96,..,-0.258792459964752,..,..,1.093975916274687,-.1031213648914786,16,-.258792459964752,-.37079980969429,37.7947774917249,72.60150790731886,7.626068376829717,6.046732550923134,108.4519054,,99.4902267456055,,53.3632,99.3
2015,"Bahamas, The",BHS,11.3117830001971,1.86148302863371,27270,78,..,12,54.851395231282,0.679315686225891,..,..,.9967586105941137,.1978970154430186,17,.679315686225891,.14747129380703,36.33769994602421,73.46713045862285,.651786981982368,1.455684507235326,79.24028134,,,,1.4532,100
2015,Bahrain,BHR,39.0907990671172,1.84862742374977,23640,93.4783,..,1.16,70.5500803025,0.509945571422577,..,..,2.507872052676149,-1.663292787162391,18,.509945571422577,.804019331932068,78.86809455742038,147.4399693836497,.1995296334215407,9.811297302424773,184.9333623,,,,59.0108,100
